"transaction_id,date,account_name,category_name,type,amount,description"
"2001,2025-09-01,Checking,Groceries,Expense,92.44,Walmart groceries for the week"
"2002,2025-09-01,Credit Card,Coffee,Expense,5.95,Starbucks latte"
"2003,2025-09-02,Credit Card,Gas,Expense,54.20,Chevron fuel"
"2004,2025-09-02,Checking,Utilities: Internet,Expense,35.00,Xfinity monthly bill"
"2005,2025-09-03,Checking,Utilities: Electric,Expense,128.12,Tucson Electric Power August usage"
"2006,2025-09-03,Credit Card,Restaurants,Expense,28.75,Lunch at Raising Cane’s"
"2007,2025-09-04,Credit Card,Groceries,Expense,18.62,Dollar Tree household staples"
"2008,2025-09-05,Checking,Income: Paycheck,Income,1400.00,Biweekly paycheck (direct deposit)"
"2009,2025-09-05,Checking,Charitable Giving,Expense,140.00,Church tithe (10% of 1400)"
"2010,2025-09-05,Credit Card,Clothing,Expense,72.15,Target fall clothes"
"2011,2025-09-06,Credit Card,Fast Food,Expense,11.40,McDonald’s breakfast"
"2012,2025-09-07,Credit Card,Coffee,Expense,6.25,Starbucks pumpkin spice latte"
"2013,2025-09-07,Credit Card,Groceries,Expense,83.55,Walmart restock"
"2014,2025-09-08,Checking,Health & Personal Care,Expense,27.30,Pharmacy essentials"
"2015,2025-09-09,Credit Card,Entertainment,Expense,13.99,Netflix monthly subscription"
"2016,2025-09-09,Checking,Savings Transfer,Transfer,200.00,Transfer to savings account"
"2017,2025-09-10,Credit Card,Restaurants,Expense,33.70,Olive Garden dinner"
"2018,2025-09-11,Credit Card,Coffee,Expense,5.25,Starbucks cold brew"
"2019,2025-09-12,Checking,Groceries,Expense,101.84,Target weekly groceries"
"2020,2025-09-13,Credit Card,Household,Expense,29.45,Dollar Tree kitchen supplies"
"2021,2025-09-14,Credit Card,Gas,Expense,61.87,Chevron fuel refill"
"2022,2025-09-14,Checking,Entertainment,Expense,101.84,Round1 Arcade"
"2023,2025-09-15,Credit Card,Restaurants,Expense,47.10,Red Lobster lunch"
"2024,2025-09-15,Checking,Entertainment,Expense,22.00, Harkis movie tickets"
"2025,2025-09-16,Credit Card,Groceries,Expense,96.22,Walmart grocery run"
"2026,2025-09-17,Credit Card,Coffee,Expense,6.10,Starbucks iced coffee"
"2027,2025-09-17,Checking,Income: Paycheck,Income,1400.00,Biweekly paycheck (direct deposit)"
"2028,2025-09-17,Checking,Charitable Giving,Expense,140.00,Church tithe (10% of 1400)"
"2029,2025-09-18,Credit Card,Clothing,Expense,88.65,Old Navy jeans and sweater"
"2030,2025-09-18,Credit Card,Gas,Expense,58.09,Chevron fuel"
"2031,2025-09-19,Checking,Utilities: Internet,Expense,35.00,Xfinity monthly bill"
"2032,2025-09-19,Checking,Utilities: Electric,Expense,126.50,Tucson Electric Power monthly bill"
"2033,2025-09-20,Credit Card,Groceries,Expense,109.48,Target groceries & cleaning supplies"
"2034,2025-09-21,Checking,Restaurants,Expense,38.44,Chipotle dinner with friend"
"2035,2025-09-21,Credit Card,Coffee,Expense,5.75,Starbucks flat white"
"2036,2025-09-22,Credit Card,Entertainment,Expense,19.99,Music streaming subscription"
"2037,2025-09-23,Checking,Health & Personal Care,Expense,18.60,Vitamins and skincare"
"2038,2025-09-24,Credit Card,Groceries,Expense,84.37,Walmart restock"
"2039,2025-09-25,Credit Card,Household,Expense,14.95,Dollar Tree storage containers"
"2040,2025-09-25,Credit Card,Gas,Expense,59.77,Chevron fuel"
"2041,2025-09-26,Credit Card,Clothing,Expense,43.10,H&M casual top"
"2042,2025-09-26,Checking,Restaurants,Expense,25.50,Taco Bell lunch"
"2043,2025-09-27,Credit Card,Coffee,Expense,6.25,Starbucks macchiato"
"2044,2025-09-28,Checking,Entertainment,Expense,9.99,App subscription"
"2045,2025-09-29,Checking,Savings Transfer,Transfer,150.00,Transfer to savings account"
"2046,2025-09-30,Checking,Groceries,Expense,97.55,Target end-of-month groceries"
